date,AAL,BAC,C,COP,CVX,DAL,EOG,JPM,KO,LUV,MA,O,PEP,PNC,SPG,TGT,UAL,USB,V,WFC,WMT,XOM
2011-04-28,8.267843246459961,9.56454086303711,33.721805572509766,34.978206634521484,58.81787872314453,8.655160903930664,39.42311096191406,30.43616485595703,21.12567901611328,10.11850357055664,25.27532386779785,17.02397918701172,44.00346755981445,40.0200309753418,55.126976013183594,32.364933013916016,22.110000610351562,15.611506462097168,17.38844108581543,19.314268112182617,13.411577224731445,48.74132537841797
2011-04-29,8.569519996643066,9.456727981567383,33.721805572509766,35.62854766845703,59.15841293334961,8.92160701751709,39.79981231689453,30.290130615234375,21.141347885131836,10.067093849182129,25.384817123413086,16.778562545776367,43.4796142578125,39.91117858886719,54.930335998535156,31.64313507080078,22.81999969482422,15.81982421875,17.491439819335938,19.208690643310547,13.482694625854492,49.09849548339844
2011-05-02,8.54123592376709,9.502935409545898,32.987117767333984,34.987247467041016,58.4773063659668,8.990367889404297,39.056976318359375,29.991413116455078,21.22283363342285,9.94714641571045,25.32961082458496,16.76439666748047,43.74470138549805,40.263309478759766,55.46746063232422,31.449790954589844,23.520000457763672,15.734039306640625,17.719823837280273,19.221891403198242,13.49740982055664,48.53485107421875
2011-05-03,8.69207763671875,9.703154563903809,33.20753860473633,33.659461975097656,57.39078140258789,9.041936874389648,38.07473373413086,30.48263168334961,21.27297019958496,9.887171745300293,25.981964111328125,16.783275604248047,43.92142105102539,41.05718231201172,55.66410827636719,31.68824005126953,23.8799991607666,15.813700675964355,17.91238021850586,19.472637176513672,13.600408554077148,47.78145217895508
2011-05-04,8.767496109008789,9.61844253540039,33.20753860473633,33.26203155517578,56.58536911010742,8.998961448669434,37.4163932800293,30.203819274902344,21.141347885131836,9.972850799560547,25.98288345336914,16.76439666748047,44.07289505004883,40.66026306152344,55.43391036987305,31.707569122314453,24.389999389648438,15.648272514343262,17.860883712768555,19.0684757232666,13.578337669372559,47.32944107055664
2011-05-05,9.257719039916992,9.472125053405762,32.91364288330078,32.50330352783203,55.47181701660156,9.643586158752441,36.73693084716797,29.984766006469727,20.903173446655273,10.204180717468262,25.25691795349121,16.783275604248047,43.44175720214844,40.01362609863281,55.266048431396484,32.44227600097656,25.790000915527344,15.439958572387695,17.621305465698242,18.637813568115234,13.504766464233398,46.10725021362305
2011-05-06,9.135164260864258,9.479828834533691,33.20753860473633,32.9413948059082,55.612369537353516,9.634992599487305,37.82478713989258,29.898473739624023,20.965852737426758,10.375534057617188,25.233917236328125,16.627525329589844,43.71944808959961,40.026424407958984,55.10778045654297,32.55181884765625,25.649999618530273,15.433826446533203,17.7802734375,18.717313766479492,13.492501258850098,46.14634323120117
2011-05-09,8.786349296569824,9.379716873168945,32.4434700012207,33.29365539550781,56.26644515991211,9.291191101074219,39.19075012207031,29.845365524291992,20.981515884399414,10.281292915344238,25.649808883666992,16.679447174072266,44.066593170166016,39.7447395324707,55.510643005371094,32.2231559753418,25.350000381469727,15.470582008361816,17.881038665771484,18.690814971923828,13.512124061584473,46.41979217529297
2011-05-10,8.956042289733887,9.456727981567383,32.47285079956055,33.691078186035156,56.412410736083984,9.282596588134766,39.025291442871094,29.978132247924805,21.103736877441406,10.36697006225586,25.86418914794922,16.731365203857422,44.19913101196289,40.62824630737305,56.30192947387695,32.52605438232422,25.770000457763672,15.734039306640625,17.990741729736328,18.90283966064453,13.617570877075195,46.509071350097656
2011-05-11,9.417987823486328,9.433621406555176,31.532472610473633,32.751705169677734,55.277225494384766,9.50606632232666,37.560726165771484,29.360769271850586,21.09747886657715,10.401236534118652,25.590923309326172,16.589767456054688,44.30642318725586,40.615440368652344,55.96621322631836,32.745182037353516,25.8799991607666,15.433826446533203,17.76460075378418,18.657697677612305,13.618804931640625,45.526912689208984
2011-05-12,9.069173812866211,9.395116806030273,31.16512680053711,32.300086975097656,55.54750061035156,9.34276008605957,37.148834228515625,29.267833709716797,21.407730102539062,10.401236534118652,25.956195831298828,16.63224220275879,44.78609085083008,40.45538330078125,56.08612060546875,33.357418060302734,25.489999771118164,15.519596099853516,17.89670753479004,18.704072952270508,13.75456714630127,45.48763656616211
2011-05-13,8.871198654174805,9.187193870544434,30.511253356933594,32.259437561035156,55.347503662109375,9.153670310974121,37.12066650390625,28.64385223388672,21.36699104309082,10.341261863708496,25.762975692749023,16.509531021118164,44.53363037109375,39.56547546386719,55.66119384765625,33.20273971557617,25.579999923706055,15.329668045043945,17.892229080200195,18.505300521850586,13.75456714630127,45.38661193847656
2011-05-16,9.370848655700684,9.133284568786621,30.261470794677734,32.259437561035156,54.947471618652344,9.45449447631836,36.860137939453125,28.46462059020996,21.257307052612305,10.401236534118652,25.684768676757812,16.509531021118164,44.63461685180664,39.6295051574707,55.93643569946289,32.6004638671875,26.149999618530273,15.348054885864258,17.89894676208496,18.458921432495117,13.838497161865234,45.03304672241211
2011-05-17,9.23886489868164,9.164094924926758,30.51860809326172,32.30911636352539,54.696903228759766,9.463092803955078,37.18051528930664,29.08197021484375,21.307451248168945,10.469779968261719,25.95160484313965,16.504804611206055,44.880760192871094,40.180091857910156,55.80123519897461,32.88541793823242,26.3700008392334,15.678903579711914,18.046724319458008,19.048603057861328,13.710138320922852,45.128456115722656
2011-05-18,9.11630916595459,9.07938003540039,30.298213958740234,32.8826789855957,56.03150177001953,9.394331932067871,37.53608703613281,29.26120376586914,21.404600143432617,10.51262092590332,25.887197494506836,16.68416404724121,44.98174285888672,40.35295867919922,56.32756805419922,32.354366302490234,25.93000030517578,15.770807266235352,17.948028564453125,19.161237716674805,13.621269226074219,45.874881744384766
2011-05-19,9.729090690612793,9.00236988067627,30.401058197021484,33.13334274291992,56.58169937133789,9.781107902526855,37.31428146362305,29.208099365234375,21.45473861694336,10.623995780944824,26.136539459228516,16.712480545043945,45.30363082885742,40.31453323364258,56.12959289550781,32.568077087402344,26.68000030517578,15.813700675964355,17.86501693725586,18.955842971801758,13.695332527160645,46.20600891113281
2011-05-20,9.58768367767334,8.917661666870117,30.136568069458008,33.092323303222656,55.87353515625,9.892842292785645,37.61705780029297,28.630569458007812,21.404600143432617,10.51262092590332,25.53939437866211,16.575603485107422,45.00067901611328,39.48226547241211,55.236263275146484,32.17951583862305,26.5,15.439958572387695,17.54873275756836,18.551687240600586,13.648426055908203,45.77946853637695
2011-05-23,9.42741584777832,8.79444694519043,29.504730224609375,32.50895690917969,55.219871520996094,9.652181625366211,36.701725006103516,28.245548248291016,21.1507511138916,10.401236534118652,25.023212432861328,16.457611083984375,44.83658218383789,39.11091613769531,54.565086364746094,32.06296157836914,26.25,15.27452564239502,17.254865646362305,18.240280151367188,13.631149291992188,45.27437973022461
2011-05-24,9.182302474975586,8.825250625610352,29.761886596679688,32.77328109741211,55.710121154785156,9.531855583190918,37.33894348144531,28.10614776611328,21.144485473632812,10.255586624145508,24.851150512695312,16.448177337646484,44.79869842529297,38.848419189453125,55.03828811645508,31.88808822631836,25.709999084472656,15.292912483215332,17.40740394592285,18.306537628173828,13.52253532409668,45.62233352661133
2011-05-25,8.739213943481445,8.763642311096191,29.6369571685791,32.80064010620117,56.243953704833984,9.01615047454834,37.74028015136719,28.059682846069336,20.9689884185791,10.144204139709473,25.255084991455078,16.400972366333008,44.46420669555664,39.12372589111328,55.274871826171875,31.9658203125,25.079999923706055,15.262269973754883,17.665382385253906,18.260156631469727,13.468223571777344,45.99834442138672
2011-05-26,8.720357894897461,8.825250625610352,29.556123733520508,32.969276428222656,56.30388641357422,8.749706268310547,37.750850677490234,28.179170608520508,20.903173446655273,10.101370811462402,25.956195831298828,16.518962860107422,44.44526290893555,39.527069091796875,55.864009857177734,31.998193740844727,24.639999389648438,15.286779403686523,17.786514282226562,18.3529109954834,13.483034133911133,46.23969268798828
